from,to,value,type,lng1,lat1,lng2,lat2
鎷夎惃,娴疯タ,6.91,move_out,91.111891,29.662557,97.342625,37.373799
鎷夎惃,鎴愰兘,4.79,move_out,91.111891,29.662557,104.067923,30.679943
鎷夎惃,閲嶅簡,2.41,move_out,91.111891,29.662557,106.530635,29.544606
鎷夎惃,鍖椾含,2.05,move_out,91.111891,29.662557,116.395645,39.929986
鎷夎惃,瑗垮畞,1.7,move_out,91.111891,29.662557,101.767921,36.640739
鎷夎惃,涓婃捣,1.06,move_out,91.111891,29.662557,121.487899,31.249162
鎷夎惃,瑗垮畨,1.05,move_out,91.111891,29.662557,108.953098,34.2778
鎷夎惃,鏄嗘槑,0.62,move_out,91.111891,29.662557,102.714601,25.049153
鎷夎惃,閮戝窞,0.6,move_out,91.111891,29.662557,113.649644,34.75661
鎷夎惃,鍏板窞,0.55,move_out,91.111891,29.662557,103.823305,36.064226
鎷夎惃,鎴愰兘,4.27,move_in,91.111891,29.662557,104.067923,30.679943
鎷夎惃,娴疯タ,2.61,move_in,91.111891,29.662557,97.342625,37.373799
鎷夎惃,閲嶅簡,1.72,move_in,91.111891,29.662557,106.530635,29.544606
鎷夎惃,瑗垮畞,0.96,move_in,91.111891,29.662557,101.767921,36.640739
鎷夎惃,鍖椾含,0.69,move_in,91.111891,29.662557,116.395645,39.929986
鎷夎惃,瑗垮畨,0.58,move_in,91.111891,29.662557,108.953098,34.2778
鎷夎惃,缁甸槼,0.55,move_in,91.111891,29.662557,104.705519,31.504701
鎷夎惃,涓村,0.45,move_in,91.111891,29.662557,103.215249,35.598514
鎷夎惃,閬傚畞,0.4,move_in,91.111891,29.662557,105.564888,30.557491
鎷夎惃,鍏板窞,0.4,move_in,91.111891,29.662557,103.823305,36.064226
閭ｆ洸,娴疯タ,12.43,move_out,92.067018,31.48068,97.342625,37.373799
閭ｆ洸,鐜夋爲,2.36,move_out,92.067018,31.48068,97.013316,33.00624
閭ｆ洸,鎴愰兘,1.26,move_out,92.067018,31.48068,104.067923,30.679943
閭ｆ洸,瑗垮畞,0.74,move_out,92.067018,31.48068,101.767921,36.640739
閭ｆ洸,鍏板窞,0.51,move_out,92.067018,31.48068,103.823305,36.064226
閭ｆ洸,閲嶅簡,0.46,move_out,92.067018,31.48068,106.530635,29.544606
閭ｆ洸,鐪夊北,0.4,move_out,92.067018,31.48068,103.84143,30.061115
閭ｆ洸,閬傚畞,0.34,move_out,92.067018,31.48068,105.564888,30.557491
閭ｆ洸,宸翠腑,0.28,move_out,92.067018,31.48068,106.757916,31.869189
閭ｆ洸,闆呭畨,0.28,move_out,92.067018,31.48068,103.009356,29.999716
閭ｆ洸,娴疯タ,18.58,move_in,92.067018,31.48068,97.342625,37.373799
閭ｆ洸,涓村,0.78,move_in,92.067018,31.48068,103.215249,35.598514
閭ｆ洸,鐜夋爲,0.73,move_in,92.067018,31.48068,97.013316,33.00624
閭ｆ洸,鎴愰兘,0.61,move_in,92.067018,31.48068,104.067923,30.679943
閭ｆ洸,瑗垮畞,0.56,move_in,92.067018,31.48068,101.767921,36.640739
閭ｆ洸,鍏板窞,0.22,move_in,92.067018,31.48068,103.823305,36.064226
閭ｆ洸,閲嶅簡,0.16,move_in,92.067018,31.48068,106.530635,29.544606
閭ｆ洸,閬傚畞,0.16,move_in,92.067018,31.48068,105.564888,30.557491
閭ｆ洸,鍖椾含,0.16,move_in,92.067018,31.48068,116.395645,39.929986
閭ｆ洸,鍑夊北,0.16,move_in,92.067018,31.48068,102.259591,27.892393
鏃ュ杸鍒�,鎴愰兘,2.12,move_out,88.891486,29.269023,104.067923,30.679943
鏃ュ杸鍒�,娴疯タ,1.14,move_out,88.891486,29.269023,97.342625,37.373799
鏃ュ杸鍒�,鍖椾含,1.06,move_out,88.891486,29.269023,116.395645,39.929986
鏃ュ杸鍒�,閲嶅簡,0.63,move_out,88.891486,29.269023,106.530635,29.544606
鏃ュ杸鍒�,涓婃捣,0.42,move_out,88.891486,29.269023,121.487899,31.249162
鏃ュ杸鍒�,瑗垮畨,0.25,move_out,88.891486,29.269023,108.953098,34.2778
鏃ュ杸鍒�,缁甸槼,0.21,move_out,88.891486,29.269023,104.705519,31.504701
鏃ュ杸鍒�,閮戝窞,0.12,move_out,88.891486,29.269023,113.649644,34.75661
鏃ュ杸鍒�,姝﹀▉,0.12,move_out,88.891486,29.269023,102.640147,37.933172
鏃ュ杸鍒�,杩炰簯娓�,0.12,move_out,88.891486,29.269023,119.173872,34.601549
鏃ュ杸鍒�,鎴愰兘,2.58,move_in,88.891486,29.269023,104.067923,30.679943
鏃ュ杸鍒�,娴疯タ,0.86,move_in,88.891486,29.269023,97.342625,37.373799
鏃ュ杸鍒�,閲嶅簡,0.43,move_in,88.891486,29.269023,106.530635,29.544606
鏃ュ杸鍒�,鍖椾含,0.43,move_in,88.891486,29.269023,116.395645,39.929986
鏃ュ杸鍒�,瑗垮畞,0.32,move_in,88.891486,29.269023,101.767921,36.640739
鏃ュ杸鍒�,涓村,0.26,move_in,88.891486,29.269023,103.215249,35.598514
鏃ュ杸鍒�,瑗垮畨,0.21,move_in,88.891486,29.269023,108.953098,34.2778
鏃ュ杸鍒�,璧勯槼,0.16,move_in,88.891486,29.269023,104.63593,30.132191
鏃ュ杸鍒�,鍗楀厖,0.16,move_in,88.891486,29.269023,106.105554,30.800965
鏃ュ杸鍒�,娓崡,0.16,move_in,88.891486,29.269023,109.483933,34.502358
闃块噷,鍠€浠€,8.74,move_out,81.107669,30.404557,75.992973,39.470627
闃块噷,鎴愰兘,3.62,move_out,81.107669,30.404557,104.067923,30.679943
闃块噷,鍜岀敯,3.41,move_out,81.107669,30.404557,79.930239,37.116774
闃块噷,娴疯タ,1.49,move_out,81.107669,30.404557,97.342625,37.373799
闃块噷,瑗垮畨,0.85,move_out,81.107669,30.404557,108.953098,34.2778
闃块噷,寰烽槼,0.85,move_out,81.107669,30.404557,104.402398,31.13114
闃块噷,姹熼棬,0.85,move_out,81.107669,30.404557,113.078125,22.575117
闃块噷,涔岄瞾鏈ㄩ綈,0.63,move_out,81.107669,30.404557,87.564988,43.84038
闃块噷,涓村,0.42,move_out,81.107669,30.404557,103.215249,35.598514
闃块噷,闃垮厠鑻�,0.42,move_out,81.107669,30.404557,80.269846,41.171731
闃块噷,鍠€浠€,10.38,move_in,81.107669,30.404557,75.992973,39.470627
闃块噷,鍜岀敯,2.59,move_in,81.107669,30.404557,79.930239,37.116774
闃块噷,鎴愰兘,0.86,move_in,81.107669,30.404557,104.067923,30.679943
闃块噷,涓村,0.43,move_in,81.107669,30.404557,103.215249,35.598514
闃块噷,澶╂按,0.43,move_in,81.107669,30.404557,105.736932,34.584319
闃块噷,鍚村繝,0.43,move_in,81.107669,30.404557,106.208254,37.993561
闃块噷,娉稿窞,0.43,move_in,81.107669,30.404557,105.44397,28.89593
闃块噷,杈惧窞,0.43,move_in,81.107669,30.404557,107.494973,31.214199
闃块噷,闀挎槬,0.43,move_in,81.107669,30.404557,125.313642,43.898338
闃块噷,涔岄瞾鏈ㄩ綈,0.43,move_in,81.107669,30.404557,87.564988,43.84038
鏄嗘槑,璐甸槼,1.7,move_out,102.714601,25.049153,106.709177,26.629907
鏄嗘槑,鍏洏姘�,1.6,move_out,102.714601,25.049153,104.852087,26.591866
鏄嗘槑,閲嶅簡,1.48,move_out,102.714601,25.049153,106.530635,29.544606
鏄嗘槑,鎴愰兘,1.48,move_out,102.714601,25.049153,104.067923,30.679943
鏄嗘槑,鍑夊北,0.99,move_out,102.714601,25.049153,102.259591,27.892393
鏄嗘槑,榛旇タ鍗�,0.98,move_out,102.714601,25.049153,104.900558,25.095148
鏄嗘槑,姣曡妭,0.97,move_out,102.714601,25.049153,105.300492,27.302612
鏄嗘槑,鏀€鏋濊姳,0.86,move_out,102.714601,25.049153,101.722423,26.587571
鏄嗘槑,骞垮窞,0.64,move_out,102.714601,25.049153,113.30765,23.120049
鏄嗘槑,瀹夐『,0.64,move_out,102.714601,25.049153,105.92827,26.228595
鏄嗘槑,閲嶅簡,1.48,move_in,102.714601,25.049153,106.530635,29.544606
鏄嗘槑,鍏洏姘�,1.13,move_in,102.714601,25.049153,104.852087,26.591866
鏄嗘槑,鎴愰兘,0.91,move_in,102.714601,25.049153,104.067923,30.679943
鏄嗘槑,姣曡妭,0.72,move_in,102.714601,25.049153,105.300492,27.302612
鏄嗘槑,鍑夊北,0.6,move_in,102.714601,25.049153,102.259591,27.892393
鏄嗘槑,璐甸槼,0.54,move_in,102.714601,25.049153,106.709177,26.629907
鏄嗘槑,榛旇タ鍗�,0.53,move_in,102.714601,25.049153,104.900558,25.095148
鏄嗘槑,鏀€鏋濊姳,0.38,move_in,102.714601,25.049153,101.722423,26.587571
鏄嗘槑,鍖椾含,0.37,move_in,102.714601,25.049153,116.395645,39.929986
